focus,lookahead,ruleToUse
A_TERM_TAIL,NULL,NULL
A_TERM_TAIL,EQ,EQ B_TERM
A_TERM_TAIL,SEMI,NULL
A_TERM_TAIL,RPAREN,NULL
A_TERM_TAIL,GREATER,GREATER B_TERM
TIGER_PROGRAM,LET,LET DECLARATION_SEGMENT IN STAT_SEQ END
FACTOR,INTLIT,CONST
FACTOR,ID,LVALUE
FACTOR,LPAREN,LPAREN EXPR RPAREN
FACTOR,FLOATLIT,CONST
EXPR_LIST,NULL,NULL
EXPR_LIST,INTLIT,EXPR EXPR_LIST_TAIL
EXPR_LIST,ID,EXPR EXPR_LIST_TAIL
EXPR_LIST,LPAREN,EXPR EXPR_LIST_TAIL
EXPR_LIST,FLOATLIT,EXPR EXPR_LIST_TAIL
EXPR_LIST,RPAREN,NULL
STAT_TAIL,ID,ID EXPR_OR_FUNC_TAIL
STAT_TAIL,INTLIT,EXPR_NOT_STARTING_WITH_ID
STAT_TAIL,LPAREN,EXPR_NOT_STARTING_WITH_ID
STAT_TAIL,FLOATLIT,EXPR_NOT_STARTING_WITH_ID
FUNCT_DECLARATION,FUNC,FUNC ID LPAREN PARAM_LIST RPAREN RET_TYPE BEGIN STAT_SEQ END SEMI
EXPR_OR_FUNC_TAIL,LBRACK,LVALUE_TAIL C_TERM_TAIL B_TERM_TAIL A_TERM_TAIL EXPR_TAIL
EXPR_OR_FUNC_TAIL,NEQ,LVALUE_TAIL C_TERM_TAIL B_TERM_TAIL A_TERM_TAIL EXPR_TAIL
EXPR_OR_FUNC_TAIL,AND,LVALUE_TAIL C_TERM_TAIL B_TERM_TAIL A_TERM_TAIL EXPR_TAIL
EXPR_OR_FUNC_TAIL,PLUS,LVALUE_TAIL C_TERM_TAIL B_TERM_TAIL A_TERM_TAIL EXPR_TAIL
EXPR_OR_FUNC_TAIL,LESSER,LVALUE_TAIL C_TERM_TAIL B_TERM_TAIL A_TERM_TAIL EXPR_TAIL
EXPR_OR_FUNC_TAIL,MINUS,LVALUE_TAIL C_TERM_TAIL B_TERM_TAIL A_TERM_TAIL EXPR_TAIL
EXPR_OR_FUNC_TAIL,DIV,LVALUE_TAIL C_TERM_TAIL B_TERM_TAIL A_TERM_TAIL EXPR_TAIL
EXPR_OR_FUNC_TAIL,LPAREN,LPAREN EXPR_LIST RPAREN
EXPR_OR_FUNC_TAIL,OR,LVALUE_TAIL C_TERM_TAIL B_TERM_TAIL A_TERM_TAIL EXPR_TAIL
EXPR_OR_FUNC_TAIL,GREATEREQ,LVALUE_TAIL C_TERM_TAIL B_TERM_TAIL A_TERM_TAIL EXPR_TAIL
EXPR_OR_FUNC_TAIL,NULL,LVALUE_TAIL C_TERM_TAIL B_TERM_TAIL A_TERM_TAIL EXPR_TAIL
EXPR_OR_FUNC_TAIL,LESSEREQ,LVALUE_TAIL C_TERM_TAIL B_TERM_TAIL A_TERM_TAIL EXPR_TAIL
EXPR_OR_FUNC_TAIL,MULT,LVALUE_TAIL C_TERM_TAIL B_TERM_TAIL A_TERM_TAIL EXPR_TAIL
EXPR_OR_FUNC_TAIL,EQ,LVALUE_TAIL C_TERM_TAIL B_TERM_TAIL A_TERM_TAIL EXPR_TAIL
EXPR_OR_FUNC_TAIL,SEMI,LVALUE_TAIL C_TERM_TAIL B_TERM_TAIL A_TERM_TAIL EXPR_TAIL
EXPR_OR_FUNC_TAIL,GREATER,LVALUE_TAIL C_TERM_TAIL B_TERM_TAIL A_TERM_TAIL EXPR_TAIL
ID_LIST_TAIL,COMMA,COMMA ID_LIST
ID_LIST_TAIL,NULL,NULL
ID_LIST_TAIL,COLON,NULL
LVALUE,ID,ID LVALUE_TAIL
VAR_DECLARATION,VAR,VAR ID_LIST COLON TYPE OPTIONAL_INIT SEMI
TYPE_ID,FLOATTYPEID,FLOATTYPEID
TYPE_ID,INTTYPEID,INTTYPEID
LVALUE_TAIL,LBRACK,LBRACK EXPR RBRACK
LVALUE_TAIL,DO,NULL
LVALUE_TAIL,THEN,NULL
LVALUE_TAIL,COMMA,NULL
LVALUE_TAIL,NEQ,NULL
LVALUE_TAIL,AND,NULL
LVALUE_TAIL,PLUS,NULL
LVALUE_TAIL,LESSER,NULL
LVALUE_TAIL,MINUS,NULL
LVALUE_TAIL,ASSIGN,NULL
LVALUE_TAIL,DIV,NULL
